filename,label,disease,height,width,avg_contour_length,line_density,num_lines
00026.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,29.192816391068657,4.166666666666667e-06,2.0
00027.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,32.021408915214444,6.25e-06,3.0
00028.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,31.820598681259643,4.166666666666667e-06,2.0
00029.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,30.271588921214413,4.166666666666667e-06,2.0
00030.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,27.500750914351684,4.166666666666667e-06,2.0
00031.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,27.402795179572628,6.25e-06,3.0
00032.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,27.22226165317827,6.25e-06,3.0
00033.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,27.52269736274344,4.166666666666667e-06,2.0
00034.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,26.730290813446047,4.166666666666667e-06,2.0
00035.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,26.59218935537276,4.166666666666667e-06,2.0
00036.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,32.20461796170516,6.25e-06,3.0
00037.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,25.98704510198339,4.166666666666667e-06,2.0
00038.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,25.17933291244507,4.166666666666667e-06,2.0
00039.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,28.75772221955716,4.166666666666667e-06,2.0
00040.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,29.432011421230904,4.166666666666667e-06,2.0
00041.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,36.45667443012628,8.333333333333334e-06,4.0
00042.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,33.650190636814834,6.25e-06,3.0
00043.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,36.23040695874008,8.333333333333334e-06,4.0
00044.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,38.98162052813609,1.0416666666666666e-05,5.0
00045.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,35.4737415049376,6.25e-06,3.0
00046.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,36.673408454849465,6.25e-06,3.0
00047.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,39.41285677175466,8.333333333333334e-06,4.0
00048.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,37.06641746146811,1.0416666666666666e-05,5.0
00049.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,38.87111776286935,8.333333333333334e-06,4.0
00050.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,38.31778162593123,4.166666666666667e-06,2.0
00051.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,34.34260514707759,8.333333333333334e-06,4.0
00052.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,34.86359982107069,4.166666666666667e-06,2.0
00053.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,33.354307822386424,4.166666666666667e-06,2.0
00054.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,35.99027441802973,8.333333333333334e-06,4.0
00055.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,36.23824179824442,4.166666666666667e-06,2.0
00056.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,35.91921740624518,4.166666666666667e-06,2.0
00057.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,34.31496930070167,8.333333333333334e-06,4.0
00058.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,35.37242744746032,6.25e-06,3.0
00059.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,33.12253746897353,4.166666666666667e-06,2.0
00060.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,34.909930182726804,4.166666666666667e-06,2.0
00061.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,26.37590991233257,4.166666666666667e-06,2.0
00062.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,31.06000810922285,8.333333333333334e-06,4.0
00063.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,34.88334824592871,8.333333333333334e-06,4.0
00064.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,32.133727838169094,4.166666666666667e-06,2.0
00065.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,35.07379697102336,6.25e-06,3.0
00066.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,36.08653831870335,6.25e-06,3.0
00067.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,33.946183509334794,6.25e-06,3.0
00068.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,32.63964426384292,4.166666666666667e-06,2.0
00069.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,31.70669449968821,4.166666666666667e-06,2.0
00070.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,36.44303293485899,8.333333333333334e-06,4.0
00071.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,37.02685466827008,4.166666666666667e-06,2.0
00072.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,32.37981528094983,8.333333333333334e-06,4.0
00073.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,34.6022467221498,6.25e-06,3.0
00074.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,41.68782695153313,6.25e-06,3.0
00075.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,29.31212714003882,6.25e-06,3.0
00076.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,37.47386929741851,2.083333333333333e-06,1.0
00077.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,34.63168596645087,8.333333333333334e-06,4.0
00078.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,37.89148380343939,6.25e-06,3.0
00079.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,40.574793428474784,6.25e-06,3.0
00080.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,38.69615202054359,4.166666666666667e-06,2.0
00081.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,27.894498652967226,1.25e-05,6.0
00082.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,25.426256029496685,6.25e-06,3.0
00083.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,21.91314724236232,6.25e-06,3.0
00084.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,24.350769914570627,6.25e-06,3.0
00085.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,25.532068682058405,4.166666666666667e-06,2.0
00086.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,24.59552854374238,6.25e-06,3.0
00087.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,23.13518813012801,6.25e-06,3.0
00088.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,22.71572521106817,6.25e-06,3.0
00089.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,22.54259073858173,8.333333333333334e-06,4.0
00090.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,23.048390486769264,8.333333333333334e-06,4.0
00091.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,29.12769393237109,6.25e-06,3.0
00092.tiff,4,Healthy,600.0,800.0,27.00681696950982,6.25e-06,3.0
00093.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,24.35711919924488,6.25e-06,3.0
00094.tiff,4,Healthy,600.0,800.0,25.68295691696627,6.25e-06,3.0
00095.tiff,4,Healthy,600.0,800.0,23.701515785053346,8.333333333333334e-06,4.0
00096.tiff,4,Healthy,600.0,800.0,23.739142748149664,6.25e-06,3.0
00097.tiff,4,Healthy,600.0,800.0,27.85561249886842,6.25e-06,3.0
00098.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,27.658521628691663,4.166666666666667e-06,2.0
00099.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,26.72044074665102,8.333333333333334e-06,4.0
00100.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,23.95138571170464,4.166666666666667e-06,2.0
00101.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,24.406289699804653,8.333333333333334e-06,4.0
00102.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,24.95860737031889,8.333333333333334e-06,4.0
00103.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,25.278070973520425,1.0416666666666666e-05,5.0
00104.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,29.888003888465327,8.333333333333334e-06,4.0
00105.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,29.63182498579956,4.166666666666667e-06,2.0
00106.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,26.585062852415582,4.166666666666667e-06,2.0
00107.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,29.56409180013757,6.25e-06,3.0
00108.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,26.72334994265726,6.25e-06,3.0
00109.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,24.028483484753497,1.0416666666666666e-05,5.0
00110.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,23.61642917112452,1.0416666666666666e-05,5.0
00111.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,22.35844670256523,8.333333333333334e-06,4.0
00112.tiff,4,Healthy,600.0,800.0,26.59703216703216,6.25e-06,3.0
00113.tiff,4,Healthy,600.0,800.0,20.963331764679776,6.25e-06,3.0
00114.tiff,4,Healthy,600.0,800.0,26.91188618405566,6.25e-06,3.0
00115.tiff,4,Healthy,600.0,800.0,26.55645064212838,6.25e-06,3.0
00116.tiff,4,Healthy,600.0,800.0,31.17522880209285,8.333333333333334e-06,4.0
00117.tiff,4,Healthy,600.0,800.0,25.7422324411894,6.25e-06,3.0
00118.tiff,4,Healthy,600.0,800.0,31.64079448842789,6.25e-06,3.0
00119.tiff,4,Healthy,600.0,800.0,25.61220597523087,6.25e-06,3.0
00120.tiff,4,Healthy,600.0,800.0,21.52882766397719,6.25e-06,3.0
00121.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,25.04498481963362,6.25e-06,3.0
00122.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,24.61529640396636,8.333333333333334e-06,4.0
00123.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,25.18463794412194,8.333333333333334e-06,4.0
00124.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,32.854803919792175,6.25e-06,3.0
00125.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,33.027818662140206,6.25e-06,3.0
00126.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,26.23382058781637,8.333333333333334e-06,4.0
00127.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,25.1773916886363,6.25e-06,3.0
00128.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,22.85652252597645,6.25e-06,3.0
00129.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,27.897715728936923,6.25e-06,3.0
00130.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,23.86372895000608,6.25e-06,3.0
00131.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,37.22035055200117,8.333333333333334e-06,4.0
00132.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,30.530899817246578,8.333333333333334e-06,4.0
00133.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,31.05014196157456,6.25e-06,3.0
00134.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,29.017961442534027,6.25e-06,3.0
00135.tiff,4,Healthy,600.0,800.0,28.12097046528784,6.25e-06,3.0
00136.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,31.267917706376764,8.333333333333334e-06,4.0
00137.tiff,4,Healthy,600.0,800.0,30.74957086704888,6.25e-06,3.0
00138.tiff,4,Healthy,600.0,800.0,29.73764150675362,4.166666666666667e-06,2.0
00139.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,26.443299000070173,8.333333333333334e-06,4.0
00140.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,29.832157098181924,6.25e-06,3.0
00141.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,25.154571530785088,1.0416666666666666e-05,5.0
00142.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,24.43364952395602,4.166666666666667e-06,2.0
00143.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,35.55118645383475,6.25e-06,3.0
00144.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,36.67020334223626,8.333333333333334e-06,4.0
00145.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,24.55511559999058,8.333333333333334e-06,4.0
00146.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,26.878556508942783,8.333333333333334e-06,4.0
00147.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,35.85377773291924,2.083333333333333e-06,1.0
00148.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,25.76326719041546,6.25e-06,3.0
00149.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,35.83541982429914,6.25e-06,3.0
00150.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,31.698737107457653,4.166666666666667e-06,2.0
00151.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,25.605748203911524,1.0416666666666666e-05,5.0
00152.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,28.307728609279803,6.25e-06,3.0
00153.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,27.391425392206976,8.333333333333334e-06,4.0
00154.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,28.38505054892678,6.25e-06,3.0
00155.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,27.172048083012992,2.083333333333333e-06,1.0
00156.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,34.24822420153437,4.166666666666667e-06,2.0
00157.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,30.03266169755979,6.25e-06,3.0
00158.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,30.68252105721545,8.333333333333334e-06,4.0
00159.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,29.360574366195408,6.25e-06,3.0
00160.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,32.11195643558502,4.166666666666667e-06,2.0
00161.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,28.80105091098933,6.25e-06,3.0
00162.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,31.31245213725813,4.166666666666667e-06,2.0
00163.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,26.729352155790743,6.25e-06,3.0
00164.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,39.26539860993811,6.25e-06,3.0
00165.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,27.17179841012004,8.333333333333334e-06,4.0
00166.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,28.18540510380061,4.166666666666667e-06,2.0
00167.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,35.13771625249474,4.166666666666667e-06,2.0
00168.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,34.401168824947206,4.166666666666667e-06,2.0
00169.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,33.6969369905701,4.166666666666667e-06,2.0
00170.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,30.09102770447316,8.333333333333334e-06,4.0
00171.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,35.26536063593488,6.25e-06,3.0
00172.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,31.10939592715692,6.25e-06,3.0
00173.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,32.41782154725946,6.25e-06,3.0
00174.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,33.93201787781528,4.166666666666667e-06,2.0
00175.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,33.59735227797153,4.166666666666667e-06,2.0
00176.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,24.08490210598292,4.166666666666667e-06,2.0
00177.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,37.21705048049517,6.25e-06,3.0
00178.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,38.94342133018512,8.333333333333334e-06,4.0
00179.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,32.40723600781421,2.083333333333333e-06,1.0
00180.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,37.299974140882775,4.166666666666667e-06,2.0
00181.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,24.23034180128815,6.25e-06,3.0
00182.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,26.59473594870881,6.25e-06,3.0
00183.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,31.930856244664795,6.25e-06,3.0
00184.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,37.513640155755766,4.166666666666667e-06,2.0
00185.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,32.34547510632405,6.25e-06,3.0
00186.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,33.48757733623254,6.25e-06,3.0
00187.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,28.555828447563336,6.25e-06,3.0
00188.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,32.54413595442045,6.25e-06,3.0
00189.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,27.01232421332573,6.25e-06,3.0
00190.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,30.441059662852176,8.333333333333334e-06,4.0
00191.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,31.97912082537028,6.25e-06,3.0
00192.tiff,4,Healthy,600.0,800.0,32.935607167858706,1.0416666666666666e-05,5.0
00193.tiff,4,Healthy,600.0,800.0,29.83536563489324,6.25e-06,3.0
00194.tiff,4,Healthy,600.0,800.0,29.1975287679627,8.333333333333334e-06,4.0
00195.tiff,4,Healthy,600.0,800.0,31.349484556991804,8.333333333333334e-06,4.0
00196.tiff,4,Healthy,600.0,800.0,28.540692704064504,8.333333333333334e-06,4.0
00197.tiff,4,Healthy,600.0,800.0,38.17084320845888,1.0416666666666666e-05,5.0
00198.tiff,4,Healthy,600.0,800.0,31.341632293060204,6.25e-06,3.0
00199.tiff,4,Healthy,600.0,800.0,32.73205399397881,8.333333333333334e-06,4.0
00200.tiff,4,Healthy,600.0,800.0,30.643011316557057,6.25e-06,3.0
00201.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,30.973755451090195,6.25e-06,3.0
00202.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,33.10632691251067,4.166666666666667e-06,2.0
00203.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,35.40844205111011,8.333333333333334e-06,4.0
00204.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,34.45546366036993,6.25e-06,3.0
00205.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,35.34586350072788,6.25e-06,3.0
00206.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,28.951964307967792,8.333333333333334e-06,4.0
00207.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,30.40214354633408,6.25e-06,3.0
00208.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,32.211249255844564,6.25e-06,3.0
00209.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,31.974316358940765,8.333333333333334e-06,4.0
00210.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,37.384016168117526,6.25e-06,3.0
00211.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,25.16036809340538,6.25e-06,3.0
00212.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,36.13631304760187,4.166666666666667e-06,2.0
00213.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,32.03401166442391,8.333333333333334e-06,4.0
00214.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,25.95420774380213,6.25e-06,3.0
00215.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,31.059933356460565,6.25e-06,3.0
00216.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,25.25668335685543,6.25e-06,3.0
00217.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,26.75357515088885,8.333333333333334e-06,4.0
00218.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,37.9123945322993,8.333333333333334e-06,4.0
00219.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,33.07531196486666,4.166666666666667e-06,2.0
00220.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,40.70821215731888,4.166666666666667e-06,2.0
00221.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,23.80002934526611,8.333333333333334e-06,4.0
00222.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,21.46358997590448,6.25e-06,3.0
00223.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,21.843939958120647,6.25e-06,3.0
00224.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,29.185721308486897,6.25e-06,3.0
00225.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,24.52521707504265,6.25e-06,3.0
00226.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,21.12353470145598,6.25e-06,3.0
00227.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,24.069481536673337,6.25e-06,3.0
00228.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,28.377597659607144,6.25e-06,3.0
00229.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,23.728596573304745,4.166666666666667e-06,2.0
00230.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,19.91440606692444,6.25e-06,3.0
00231.tiff,4,Healthy,600.0,800.0,24.60373110742964,1.0416666666666666e-05,5.0
00232.tiff,4,Healthy,600.0,800.0,20.46240492516804,6.25e-06,3.0
00233.tiff,4,Healthy,600.0,800.0,22.90606886712612,8.333333333333334e-06,4.0
00234.tiff,4,Healthy,600.0,800.0,21.87512832866656,6.25e-06,3.0
00235.tiff,4,Healthy,600.0,800.0,22.34786093496604,6.25e-06,3.0
00236.tiff,4,Healthy,600.0,800.0,21.861626710902488,8.333333333333334e-06,4.0
00237.tiff,4,Healthy,600.0,800.0,19.455757485328764,6.25e-06,3.0
00238.tiff,4,Healthy,600.0,800.0,19.73844434045275,6.25e-06,3.0
00239.tiff,4,Healthy,600.0,800.0,23.96178924799645,6.25e-06,3.0
00240.tiff,4,Healthy,600.0,800.0,18.405418726515144,6.25e-06,3.0
00241.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,29.74493572121407,6.25e-06,3.0
00242.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,28.968133083343503,4.166666666666667e-06,2.0
00243.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,31.74962357148919,6.25e-06,3.0
00244.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,25.455434571793987,1.0416666666666666e-05,5.0
00245.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,30.887534175794123,8.333333333333334e-06,4.0
00246.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,29.556604521405205,4.166666666666667e-06,2.0
00247.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,27.386612064478403,6.25e-06,3.0
00248.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,28.213234108083704,6.25e-06,3.0
00249.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,27.877066623369853,4.166666666666667e-06,2.0
